country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Germany,2591.620035,2503.665194,2218.689375,2243.22552,2199.957383,1949.953934,1950.64877,2079.136081,2505.733634,2819.245096,2861.410272,3002.446368,3439.953463,3752.365607,3418.005001,3417.094563,3757.698281,3543.983909,3752.513503,3879.276587,3363.599908,3466.75688
Greece,136.8783662,145.8616128,143.1576,144.4281728,142.540729,130.1338458,136.1913535,153.830947,201.9242703,240.521261,247.7830019,273.317737,318.4979369,354.4608025,330.0002522,299.3615766,287.7978221,245.6706666,239.8620115,236.0797747,194.8601877,194.5586513
Hungary,46.28836901,46.53816951,47.17824157,48.6616664,49.07472534,47.20947185,53.69673022,67.56128538,85.0502816,103.6945278,112.5890396,114.8011883,139.1981955,157.2909705,129.9653606,130.2556375,140.0915919,127.321135,134.6804756,139.2945651,121.7152032,124.3429402
Iceland,7.181787874,7.501950116,7.596126046,8.468339856,8.931365461,8.946079678,8.14607399,9.199643908,11.30408427,13.70331535,16.69121348,17.04324594,21.2950121,17.64037572,12.8870723,13.25481833,14.67465043,14.21857509,15.47925684,17.17896276,16.78371496,20.04741301
Ireland,69.20823232,75.86498236,82.81677412,90.11161826,98.78155764,99.85506726,109.119123,127.9416996,164.2856095,193.8709089,211.6848278,232.1675198,270.0430194,274.9190274,235.7659767,221.3434837,240.5907361,225.8191892,239.2711585,256.2713454,283.7160067,294.0535957
Israel,99.96878425,109.7741016,114.5439787,115.8380043,117.2123584,132.3966841,130.751599,121.0927013,126.749742,135.4185631,142.8375337,154.5114233,179.5642755,216.7603122,208.0688147,233.7547473,261.374752,257.6417957,293.3147779,308.7693899,299.4157147,318.7436859
Italy,1170.787357,1308.929306,1239.050936,1266.309224,1248.563149,1141.760022,1162.31784,1266.510669,1569.649632,1798.314756,1852.661936,1942.633842,2203.053327,2390.72921,2185.160159,2125.05827,2276.292459,2072.823112,2130.49127,2151.732834,1824.902219,1849.970464
Japan,5449.116305,4833.712542,4414.732844,4032.509761,4562.078822,4887.519661,4303.54426,4115.116279,4445.658071,4815.148854,4755.410631,4530.377225,4515.264514,5037.908465,5231.382675,5700.098115,6157.459595,6203.213121,5155.717056,4848.733416,4383.076298,4939.38391
"Korea, Rep.",556.1309269,598.0990739,557.5030748,374.2413518,485.2482293,561.6331258,533.0520763,609.0200545,680.5207241,764.8806447,898.1371947,1011.797457,1122.679155,1002.219053,901.9349534,1094.499339,1202.463683,1222.807284,1305.604981,1411.333926,1382.764027,1411.24559
Latvia,5.788368511,5.970044666,6.525676264,7.174985107,7.533187605,7.93775898,8.350252966,9.546441564,11.74843316,14.37326916,16.92250404,21.44702157,30.90139926,35.59601666,26.16985405,23.75736829,28.22355282,28.11999605,30.25457108,31.35224935,27.0260376,27.67739132
Luxembourg,21.5881705,21.77660977,19.73191249,20.20912203,22.23592904,21.26351483,21.27241879,23.61632882,29.55732506,34.68528185,37.3473946,42.41430812,50.88813441,55.84968654,51.37054321,53.21247681,60.00463023,56.67796179,61.8081783,66.29806052,58.04824244,59.94778115
Mexico,343.7927922,397.4041405,480.5546442,502.0102507,579.4596826,683.6479652,724.7036035,741.5595096,713.2842316,770.2675859,866.3458212,965.2811914,1043.471321,1101.275279,894.9487484,1051.128604,1171.18752,1186.598324,1261.981728,1298.398654,1151.037123,1045.998069
Netherlands,446.5289596,445.7045752,412.1990061,432.4761164,441.9752823,412.80726,426.5736018,465.3689065,571.8634312,650.5326546,678.5337645,726.649103,839.4196551,936.2282115,857.9327591,836.3899372,893.7572872,828.9468124,866.6800004,879.6350841,750.3180568,770.8450462
Norway,152.0274024,163.5177835,161.3543699,154.1652198,162.2860037,171.31564,174.0032474,195.4183472,228.7524364,264.3574947,308.7220799,345.4246644,400.8838733,461.9468085,386.3839193,428.5270647,498.156757,509.704856,522.7462128,498.3397514,386.5784437,370.5566667
New Zealand,63.91870351,70.1408353,66.07451302,56.22716985,58.76174166,52.62328196,53.87242592,66.62822219,88.25088555,103.9058824,114.7194255,111.6068997,137.3146175,133.2796795,121.3373727,146.5809493,168.4619987,176.1928866,190.5211422,200.6962918,175.5644276,185.0173161
Poland,142.1373196,159.9428805,159.1177995,174.3882719,169.7176779,171.8855986,190.5212633,198.6806373,217.5186423,255.1022528,306.1346356,344.8264303,429.2496476,533.8157895,439.7961604,479.3211289,528.8199454,500.3442814,524.2147893,545.1517785,477.3367821,469.5086804
Portugal,118.1336341,122.6298128,117.046199,123.9817364,127.4655455,118.35849,121.545881,134.2286975,164.9641953,189.1874373,197.3045131,208.5669489,240.1693362,262.0075904,243.7457488,238.3034434,244.8951017,216.3681787,226.073493,229.6298221,199.0822912,204.5647003
Slovak Republic,25.73304314,27.82191381,27.66014954,29.82889921,30.41509589,29.11487562,30.70301745,35.08360813,46.73176749,57.24053514,62.69754011,70.59672939,86.30424583,100.3246272,88.94562517,89.50101292,98.18125974,93.41399296,98.47834932,100.760597,87.26759379,89.55183432
Slovenia,21.2730554,21.48002302,20.74914061,22.12543537,22.68999499,20.34220136,20.87538707,23.56357676,29.69744811,34.47022745,36.34697401,39.58773203,48.1146882,55.58984913,50.24479383,48.01360675,51.29079202,46.25824757,47.68856699,49.53014702,42.77671663,43.99063518
Spain,612.9396851,640.9982924,588.6920455,617.0419869,633.1941189,595.4026165,625.9758389,705.1458686,906.8532731,1069.5555,1157.276458,1264.551499,1479.341637,1634.989014,1499.074743,1431.587612,1488.017214,1335.945713,1361.77587,1375.856058,1192.955481,1232.088185
Sweden,264.0519816,288.1039368,264.4777273,266.8004629,270.8479376,259.8020126,239.917321,263.9262203,331.1089126,381.7054253,389.0422984,420.0321217,487.8163283,513.9656507,429.6570331,488.3776896,563.1096633,543.8806478,578.7420015,573.8177191,495.6943566,510.9997966
Switzerland,341.7590129,329.6193511,286.6040248,294.9775188,289.8841277,271.6597282,278.6287729,301.127809,351.9826343,393.5416939,407.535656,429.1955912,477.4078023,551.5469627,539.5282299,581.2085624,696.2787177,665.0540506,684.8350344,702.7055449,670.7899288,659.8272352
Turkey,169.485941,181.4755553,189.8346491,275.7686958,255.8843004,272.9793906,200.2541042,238.4239079,311.8259468,404.7763284,501.4228326,552.5049623,675.754121,764.3229333,644.6565389,771.8769435,832.5464623,873.9818406,950.595641,934.1677742,859.3836377,857.7489893
United Kingdom,1320.255641,1392.979719,1537.090701,1623.564094,1652.167934,1635.441065,1613.034403,1757.571942,2028.488163,2389.004028,2508.103636,2678.277829,3063.005202,2875.463235,2367.127278,2429.680445,2608.824654,2646.002634,2719.509472,2998.833559,2861.090727,2618.885692
