year,L_nc,L_c,At_c,An_c,i_pr,i_t
2005,2622.9376865875242,16676.185560625927,31396.6771881258,763.4088583162483,0.017757533333333332,0.0428888
2006,2998.904481780578,17945.95803282367,32994.87237032247,668.7464451559923,0.016878,0.04795
2007,3416.770667480774,20046.042482808483,30857.79627570703,693.8740621098824,0.018551261620185923,0.046346613545816734
2008,3705.4360540779408,20823.723419896585,33357.999437802864,621.9857804934551,0.03793389774236388,0.03664262948207171
2009,3607.2430123252093,19544.35752159607,33706.609455734,644.2606878593916,0.04031473333333333,0.0326412
2010,3576.1981470341234,19198.1309632653,29544.605777744415,568.9966998972193,0.028252456839309426,0.03215059760956176
2011,3518.3522977775665,20215.30922181104,27400.931024242953,529.9145785422568,0.028827,0.027816399999999998
2012,3673.5503771529256,21268.70471917721,26469.37252846286,544.7486683996148,0.0313356,0.0180344
2013,3768.7892647903227,22407.562022972448,27989.93305437431,503.1941987350926,0.027518866666666666,0.023501599999999997
2014,4023.843907751742,23823.850838388476,29764.312428827994,504.52546320947084,0.023143999999999994,0.025395599999999997
