Asset,i1960,i1961,i1962,i1963,i1964,i1965,i1966,i1967,i1968,i1969,i1970,i1971,i1972,i1973,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016
Household appliances,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8,7.3,7.9,9,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.2,25.8,26.6,26.8,26.5,28.6,31.6,34.1,35.7,37.6,38.9,42.1,45.1,47,46.8,45.2,41.1,41.7,43,44.5,46.1,46.9,48,48.9
Household furniture,8.7,8.8,9.4,10.2,11.5,12.3,13.3,13.8,15.1,15.7,15.8,16.6,18.6,21.2,22.9,23.5,26,29.6,32.6,36.1,36.9,38.4,37.8,43.2,49.3,53.1,59.4,64.5,67.5,70.8,69.2,67.1,69.3,73.5,79.4,83.4,88.3,93.8,101.2,111.3,121.7,124.5,130.2,136.1,148.9,160.6,169.8,171.8,160.5,144.6,148.4,154.1,160.5,166.2,174.8,187.4,195.9
Internal combustion engines,0.6,0.5,0.4,0.4,0.4,0.5,0.5,0.8,0.9,1.1,1.3,1.5,1.7,1.7,1.8,1.7,1.8,1.7,1.8,1.9,1.9,2.3,2,1.8,1.9,2.2,1.9,2.5,2.7,3.3,3.1,3.8,3.7,3.5,3.9,3.3,4,3.7,4.4,5.5,7.1,10.8,11.6,10.3,4.9,5.8,7.4,11.4,12.1,9.9,6.9,10.4,13.5,11.4,11.1,12.3,10.5
Inventories,2.051,1.639,4.3,4.037,4.683,6.71,11.993,7.777,6.701,7.952,2.425,5.765,7.579,12.47,14.647,-8.349,15.953,16.185,21.916,13.232,-0.631,19.878,-19.293,8.014,57.386,15.711,7.526,31.404,27.946,26.226,11.679,0.727,9.965,24.915,49.895,38.497,21.521,62.171,57.155,57.201,50.325,-34.276,18.339,17.051,50.347,52.513,61.681,31.194,-29.724,-130.788,57.924,34.938,65.764,73.597,57.879,81.156,21.641
Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light trucks (including utility vehicles),1,1,1.3,1.3,1.4,1.7,2,1.8,2.2,2.6,2.3,2.7,3.5,4.1,4.2,3.3,4.4,5.9,7.3,8,6.2,6.6,6.5,7.6,10.3,11.6,10.2,10.3,11.5,10.2,9.1,9.3,9.7,14.5,24.8,28.3,37.5,47.4,47.7,53.6,50.7,42.4,37.6,41.6,54,63.1,69.7,62.9,36.5,2.2,30.5,52.1,60.1,73.9,87.7,108,141.4
Local transit structures,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4.3,3,3.3,3.2,2.8,2.6,2.8,3.2,2
Lodging,0.6,0.7,0.7,0.9,1.4,1.4,1.4,1.2,1.2,1.3,1.3,1.4,2,2.3,1.7,1.1,0.9,1,1.3,2.5,3.5,4.4,4.5,5.7,7.4,8.1,8.3,8.5,7.9,8.9,10.8,7.5,4.6,5.7,5.8,8.8,13.5,16,18.3,19.8,20.2,18,13,12.3,14.8,15.7,21.8,34,43.8,31.4,13.9,10.4,12.6,16.1,20.2,26.4,32.8
Long-lived television programs,0.8,0.9,0.9,1,1,1.2,1.5,1.4,1.4,1.5,1.5,1.5,1.8,1.8,2.1,2.1,2.9,3.4,3.8,4.5,4,5.5,6,7,8,8.8,9.8,9.3,9.8,10.4,11.6,11.6,13.2,12.8,13.8,15.6,17.5,18.2,19.1,20.4,21.1,21.1,23.5,25.9,26.1,30.5,31.1,30.4,28.6,28.4,30.5,31.5,34.3,34.7,37.4,38.9,40.6
Mainframes,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,76,79,77.4,83.5,84.8,81,74.2,78.5,73.8,77,76.3,77.7,74.4,70.6
