0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
87081961059.68889,90494467212.81293,94726927623.0554,100000000000.0,105683550060.60153,111665580972.56522,117890790978.67163,124331082537.23923,130971049298.40773,137851286781.67392,144990639323.07144,152407442693.6779,160109846505.61655,168099888115.30777,176414590645.11746
35534935976.78151,36653100294.951744,38271391776.02674,40483811779.0,42784729487.89916,45145856207.584694,47522550985.06659,49900221575.76336,52292695470.80757,54730341296.11471,57224755056.785835,59786232571.71028,62419321883.18408,65126725504.263504,67924127583.879875
11927641050.495049,14057392597.243797,16172879094.619972,17079757449.0,18050494013.843235,19066901215.271164,20117165170.35536,21195641854.468716,22300887118.991436,23440638173.836273,24618151494.6118,25836535631.8938,27097045143.750477,28399963717.12342,29751453888.91212
5816569325.3736925,12550120438.718258,17092258409.25196,18092187649.0,19120466191.088886,20168033544.19636,21213117332.21958,22249994515.993793,23288457625.89694,24344454629.340603,25423984925.214607,26532224731.714764,27671500842.485435,28843350305.863094,30054943780.191307
3072324326.170242,3371918637.999514,3774001585.220192,3986455831.0,4213028043.7986546,4449612835.6830845,4693184559.179179,4942351661.604823,5196952666.457778,5458916618.91543,5729029425.177374,6008034135.89411,6296226445.625882,6593683997.418752,6901844990.938995
5391641255.339138,5358605976.201181,5485974359.997907,5835206602.0,6166853490.364196,6490425182.805546,6798214704.027487,7092454658.879038,7384606270.717818,7684050631.651543,7993248255.637356,8313948022.908939,8646538402.07959,8991374698.362976,9350459594.345984
211731878849.4345,219297083311.31915,229232747300.61435,242000000000.0,255754191146.65576,270225147481.5529,285276452441.48737,300839071725.87726,316876795758.0437,333488562716.2145,350719888349.5369,368614995165.6652,387193336242.7661,406459648501.15295,426503229185.39746
7450190976.60096,7354484360.864129,7598057173.8213415,8069489954.0,8528123455.170801,8980903079.602242,9416791133.736197,9836854370.148922,10253661566.72577,10678832551.346428,11115928059.023746,11567624078.654726,12034811291.438562,12518182489.867638,13020720940.897467
3596780982.5193872,3657929785.3559084,3787726301.537278,4025914234.0,4254729084.886273,4479205518.034159,4693909169.386108,4899892586.699209,5104299316.857238,5313303609.98837,5528658639.439342,5751643564.098019,5982616325.375745,6221872657.531798,6470845344.286992
97279387094.28212,100814747901.8185,105848286615.66377,112000000000.0,118365576067.87373,124876285013.30022,131403169965.78207,137907738879.41144,144438123037.82678,151084924521.594,157882537147.72394,164861109535.5046,172034118739.78503,179410040989.90082,187032793583.82263
51802875850.741875,53689260298.45814,56317022226.40481,59590066982.0,62976898270.067955,66440948110.7668,69913604463.46504,73374387474.6455,76848905594.4505,80385364037.60893,84002062177.86584,87715040713.8175,91531470168.6887,95455860355.63893,99511577656.16585
306192414.1087764,319857964.99202657,337014297.88171417,357727587.2,378059213.69909406,398224454.23498595,417733043.27636856,436600812.2819033,455328290.57174283,474404013.19271815,493984960.3291763,514191661.81428665,535068068.81634986,556647469.1240191,579065395.5390297
533591375696.7408,543367998888.7108,563625219357.1798,595000000000.0,628817122860.5792,664410206786.7631,701450206323.0962,739769941096.5735,779277743325.5262,820215156350.9601,862694303972.2756,906824284027.3839,952653586708.419,1000194334286.0815,1049666814338.449
2231095193.215677,2296609448.591996,2390058154.076528,2542388833.0,2686886775.0586987,2827792400.953486,2961756470.622096,3089781994.78477,3216908486.5955997,3347240165.7408104,3481844646.5049663,3621478869.1992083,3766306304.260563,3916478566.108924,4072865127.0859
91872911761.3152,95040080086.67804,100148162337.9232,106000000000.0,112024563064.23764,118166519468.83257,124299244824.12076,130388626310.18517,136489863751.1625,142694997234.73734,149038714687.06665,155551031072.21848,162245434519.91913,169130767523.03412,176248975046.5453
63397973345.46264,70865212059.55614,76155912930.64105,80549886163.0,85127979266.83165,89831542885.72798,94573298736.16797,99323830194.2254,104108129406.5777,108984916180.41829,113976655439.99704,119103385687.56577,124373905756.0231,129793311432.21696,135392652132.62685
150617026669.07947,153569262555.45068,159136783250.0133,168000000000.0,177548364101.8106,187594317259.92105,198043157066.81772,208846958884.0801,219980585484.92288,231512721224.47946,243474963812.90164,255898013172.85846,268795373920.59796,282170334496.6682,296084886376.63965
193353928.59646693,194187037.85579893,200200977.09771013,213775583.6,225925625.91124913,237485218.25158158,248233045.10626802,258384572.5351279,268539556.01585555,279090827.1353112,290093753.3725506,301583426.4755876,313547376.70376015,325985702.34562933,338960629.8272003
65359495916.04024,79250593582.51756,93057499497.97916,98513726691.0,104112803664.04718,109809367590.67792,115483311684.52504,121104539236.21687,126730159146.44286,132449425443.1451,138295791055.55338,144297963637.76865,150468844614.17383,156817067276.93237,163381776691.5247
2926043151.9736023,3106197293.4622273,3343763331.9135165,3542409327.0,3743743934.451463,3947043515.1399236,4147724289.7020335,4344976281.688445,4541664551.011775,4741497232.446697,4945825307.534663,5155772080.979801,5371831987.540238,5594353532.257458,5824750607.846907
10150655968.738937,10540794377.895311,11039882132.89266,11674503194.0,12338029427.357517,13021331764.073526,13712215116.026564,14406334554.733133,15106627616.380108,15821137286.335773,16552951956.253805,17304850793.882244,18078037279.75559,18873168554.775417,19694697823.34438
31520622650.250324,32801553643.408688,34310788614.76485,36269357406.0,38330744490.8285,40463178337.2395,42631774367.44759,44822853886.740265,47041682913.40418,49310569428.00029,51638154639.674904,54032344482.19383,56496449025.70959,59032009460.96908,61652561773.42191
86342669593.16718,88385119702.26802,92342913220.77087,97670828983.0,103221999442.85333,108925309276.24333,114674929130.58148,120435189854.96497,126236395696.86479,132149747405.52473,138202484842.83716,144418905710.75723,150809679041.16357,157380983734.48004,164170468785.52777
4248864514.561673,4429034182.6149645,4694982119.609259,4956240891.0,5237931323.163989,5534491078.245436,5843214773.855725,6162724286.918947,6492241697.978738,6833769780.837348,7188243954.971943,7556575290.059195,7939171632.586003,8336136866.652983,8749310304.393364
27241114385.638367,28160229943.037083,29526355470.210495,31261484438.0,33038246555.72089,34843550858.40029,36638814972.240074,38414852450.94327,40191006401.77188,41996370346.105675,43841804709.367836,45736578779.32846,47684852923.44824,49689443467.29521,51762797678.59891
30356172221.75312,31633076685.54856,33495485003.755817,35355401894.0,37364843859.77236,39483658749.11569,41694116627.21237,43987050982.358864,46356328104.16818,48815868145.83183,51372439470.26452,54032674554.372314,56799687670.77441,59674381297.868065,62670102513.767365
1014461798.666763,1088592754.1397765,1189225296.1565652,1255401382.0,1326752748.0074532,1401870470.2010794,1480069283.101617,1561000112.1478994,1644465912.6074202,1730973981.2509522,1820761257.1075323,1914058511.472653,2010969050.673541,2111519188.2503064,2216174816.6090627
42216395490.30757,45156841793.54191,49950591096.02946,52902871717.0,55909632914.53151,58954569191.65878,61970586479.11013,64943867676.73638,67912441616.866875,70928820269.82777,74012375378.44391,77179413487.67361,80437197649.9118,83790763631.41408,87261233657.99571
58290188327.1125,57513025256.39626,59555911836.05655,63396170766.0,66999323867.99006,70495329402.83243,73803091054.77321,76955012954.24904,80087648456.2409,83307124580.66318,86638773933.53403,90100132671.14642,93693830928.05127,97422869464.79875,101308197549.18816
12160702893.948725,16703392011.548632,19235296494.102036,20612189047.0,21783693130.072075,22878287040.00413,23881895440.037094,24825423372.548653,25778055751.72998,26778638713.321262,27828338177.157333,28927949349.094215,30074422775.179703,31267151867.13498,32511674458.10425
124147553367.25835,171008295066.5816,201568531870.46594,213000000000.0,225105961629.0813,237683303699.651,250545948335.8659,263614901617.78033,276901517248.81714,290523012005.68616,304525470785.9435,318951707410.5634,333819058778.6569,349133957801.81537,364974352125.4442
